date,equity,positions,returns,cummax,drawdown
2025-08-08,41632.19566145914,3,0.025949999811062163,41632.19566145914,0.0
2025-08-11,40884.40008345621,3,-0.017961953870600178,41632.19566145914,-1.7961953870600171
2025-08-12,41895.350507650546,3,0.024727045575591466,41895.350507650546,0.0
2025-08-13,41984.28602400797,3,0.002122801582509215,41984.28602400797,0.0
2025-08-14,41334.192823324374,3,-0.015484202835123861,41984.28602400797,-1.5484202835123826
2025-08-15,40231.988050375156,3,-0.026665690017472876,41984.28602400797,-4.173699589962759
2025-08-18,39994.64037886637,3,-0.005899476585934593,41984.28602400797,-4.73902460554851
2025-08-19,37256.028748106866,3,-0.06847446569882432,41984.28602400797,-11.261968997632428
2025-08-20,36882.73849542132,1,-0.010019593210253697,41984.28602400797,-12.15108797055503
2025-08-21,36621.22790582171,1,-0.007090324641487067,41984.28602400797,-12.773965276245233
2025-08-22,37994.32959039202,1,0.03749469264388128,41984.28602400797,-9.503451913733533
2025-08-25,38606.806527612134,2,0.01612021961758714,41984.28602400797,-8.044627683949376
2025-08-26,39242.78019094221,2,0.01647309685858689,41984.28602400797,-6.529837929119657
2025-08-27,39075.132180688306,2,-0.004272072708360275,41984.28602400797,-6.929149257548679
2025-08-28,38616.58249807112,2,-0.011735076940924904,41984.28602400797,-8.021342851968683
2025-08-29,37780.991403100415,1,-0.02163814198246161,41984.28602400797,-10.011590094693936
2025-09-02,37469.80072927229,1,-0.008236699521934399,41984.28602400797,-10.752797587540607
2025-09-03,37469.80072927229,0,0.0,41984.28602400797,-10.752797587540607
2025-09-04,38230.31162659317,2,0.020296635757839798,41984.28602400797,-8.941379627768725
2025-09-05,39769.160961309964,2,0.04025207405440989,41984.28602400797,-5.276081297253272
2025-09-08,40059.90171448379,2,0.007310708753867745,41984.28602400797,-4.583582315592435
2025-09-09,40203.19208923965,2,0.0035769028036345407,41984.28602400797,-4.2422870636643175
2025-09-10,40988.55317322402,2,0.019534794208407424,41984.28602400797,-2.3716798475852516
2025-09-11,42632.07215515761,2,0.04009702355162004,42632.07215515761,0.0
2025-09-12,43844.403789679105,2,0.02843707972038656,43844.403789679105,0.0
2025-09-15,45539.44205872207,2,0.03866031061054076,45539.44205872207,0.0
2025-09-16,45168.32300964981,2,-0.008149398242378703,45539.44205872207,-0.8149398242378746
2025-09-17,43784.17220047494,3,-0.030644281588208533,45539.44205872207,-3.854394737607341
2025-09-18,44390.18388870736,2,0.01384088490831048,45539.44205872207,-2.5236544807307117
2025-09-19,44936.20326736947,2,0.012300453181970594,45539.44205872207,-1.3246512563213526
2025-09-22,44902.50334671517,2,-0.0007499503341166225,45539.44205872207,-1.39865286708075
2025-09-23,43758.064015660486,2,-0.025487205517649825,45539.44205872207,-3.911725665774593
2025-09-24,44700.543593205475,3,0.021538420374532352,45539.44205872207,-1.8421360201006658
2025-09-25,42792.824843205475,3,-0.04267775281126507,45539.44205872207,-6.031293075516585
2025-09-26,44239.753218449616,3,0.03381240618131054,45539.44205872207,-2.8539849886534223
2025-09-29,46031.003248967194,3,0.0404896026809336,46031.003248967194,0.0
2025-09-30,46956.14327887442,3,0.020098193926024965,46956.14327887442,0.0
2025-10-01,47982.89398733093,2,0.02186616354666504,47982.89398733093,0.0
2025-10-02,46472.903783473506,2,-0.031469344142854516,47982.89398733093,-3.1469344142854516
2025-10-03,45842.332204494014,2,-0.01356858572723263,47982.89398733093,-4.4610935376305
2025-10-06,47290.452947291866,2,0.031589159476835826,47982.89398733093,-1.4430997851482026
2025-10-07,45730.11267629577,2,-0.03299482609598159,47982.89398733093,-4.694967568296246
2025-10-08,46807.72552261157,3,0.023564622592202378,47982.89398733093,-2.449140447905549
2025-10-09,47351.44747695727,3,0.011616072951099676,47982.89398733093,-1.3159825469059476
2025-10-10,43094.505643461176,3,-0.08990098635459154,47982.89398733093,-10.18777305337283
2025-10-13,44241.893040624585,3,0.026624911459855793,47982.89398733093,-7.796530462906408
2025-10-14,43037.76143356893,2,-0.027217000094231447,47982.89398733093,-10.30603230198595
2025-10-15,45117.0929460201,2,0.048314118652772686,47982.89398733093,-5.972547304186142
2025-10-16,45029.65135666463,2,-0.0019381033583012464,47982.89398733093,-6.154782226028406
2025-10-17,45111.272404638265,2,0.001812606705016151,47982.89398733093,-5.984677755057597
2025-10-20,45785.43166061971,2,0.014944363571357089,47982.89398733093,-4.579678598150877
2025-10-21,45279.16249558065,2,-0.011057429113953465,47982.89398733093,-5.634782038082479
2025-10-22,43968.33295256256,2,-0.028949951164534582,47982.89398733093,-8.366650489710658
2025-10-23,45159.314642015685,2,0.027087260523114942,47982.89398733093,-5.884554078919796
