symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,exit_reason,days_held,signal_type,quality,delta,theta_cost,iv_crush
DDOG,2020-01-28,2020-02-11,42.15999984741211,47.810001373291016,0.1164951252200607,-137.29473469614567,-27.954100939821608,Stop Loss,14,trend,1,0.6799999999999999,8.853599967956542,6.323999977111816
MSTR,2020-02-05,2020-02-11,15.284000396728516,15.210000038146973,0.24144339534113043,-93.35433797122485,-25.297763801009783,Stop Loss,6,trend,1,0.62,1.3755600357055664,2.2926000595092773
TSLA,2020-02-11,2020-02-13,51.62533187866211,53.599998474121094,0.10489921089721806,-88.70451866725543,-16.379878116679993,Stop Loss,2,trend,3,0.6900000000000001,1.5487599563598633,7.743799781799316
AMD,2020-02-12,2020-02-13,53.88999938964844,54.529998779296875,0.10049093779390338,-90.33281450574891,-16.68055375049374,Stop Loss,1,trend,3,0.6950000000000001,0.8083499908447266,8.083499908447266
NET,2020-02-13,2020-02-14,18.06999969482422,17.75,0.1366359648952208,-8.970831502279566,-3.6333691651702726,Exit Signal,1,trend,1,0.645,0.27104999542236324,0.0
SMCI,2020-02-10,2020-02-18,2.9110000133514404,2.753000020980835,1.0358159983680928,-46.64486585872669,-15.469597945685281,Stop Loss,8,trend,1,0.46,0.34932000160217286,0.0
MARA,2020-02-10,2020-02-19,1.1100000143051147,1.0700000524520874,5.432901524720744,-101.56808166040088,-16.842340078323723,Stop Loss,9,trend,3,0.655,0.1498500019311905,0.0
SMCI,2020-02-18,2020-02-19,2.753000020980835,2.75600004196167,0.8699083045983447,-41.742984101613644,-17.430257413254562,Stop Loss,1,trend,1,0.645,0.041295000314712525,0.4129500031471252
RIOT,2020-02-10,2020-02-20,1.4800000190734863,1.4199999570846558,4.074676143540558,-112.25734528972926,-18.614867532706036,Stop Loss,10,trend,3,0.65,0.22200000286102295,0.0
DDOG,2020-02-11,2020-02-20,47.810001373291016,45.9900016784668,0.11327037065102424,-91.9240029586273,-16.974377259266557,Stop Loss,9,trend,3,0.655,6.454350185394287,0.0
SMCI,2020-02-19,2020-02-20,2.75600004196167,2.7860000133514404,0.7996284928305073,-37.03079755433487,-16.803338846258256,Stop Loss,1,trend,1,0.645,0.04134000062942505,0.4134000062942505
NVDA,2020-02-05,2020-02-21,6.24146842956543,7.319462776184082,0.5912424282563026,-67.58441063850155,-18.31446180348113,Stop Loss,16,trend,1,0.67,1.7975429077148437,0.0
MARA,2020-02-19,2020-02-21,1.0700000524520874,1.0299999713897705,2.0596037866954275,-47.10315125602644,-21.37383647004153,Stop Loss,2,trend,1,0.64,0.032100001573562624,0.1605000078678131
NET,2020-02-20,2020-02-21,20.299999237060547,21.020000457763672,0.18543448631809648,-56.663197889531716,-15.052705118440718,Stop Loss,1,breakout,3,0.6950000000000001,0.3044999885559082,3.044999885559082
SMCI,2020-02-20,2020-02-21,2.7860000133514404,2.7739999294281006,0.6755778737871855,-5.2242473491382455,-2.7756659610241248,Exit Signal,1,trend,1,0.645,0.041790000200271606,0.0
