simulation,final_capital,total_return_pct,max_drawdown_pct
271,134008.7204333312,1240.0872043333122,-36.572722379526176
272,35278.050061165864,252.78050061165865,-28.41741972469276
273,85093.44238001954,750.9344238001954,-35.673622187173706
274,110932.78814498511,1009.3278814498511,-28.337795919648805
275,89841.40246103611,798.4140246103611,-44.24605650038142
276,81932.14521547241,719.3214521547242,-29.71062343921177
277,49312.51284081142,393.12512840811416,-61.689164386146686
278,136169.41652826636,1261.6941652826636,-29.424454956393685
279,589683.1762909892,5796.831762909891,-28.52795347252803
280,110618.68642070434,1006.1868642070434,-34.04973463020405
281,98221.17904393679,882.2117904393679,-34.14817419235251
282,49272.12722353601,392.72127223536006,-34.0602691488942
283,226527.10448099117,2165.271044809912,-25.29502419684527
284,103466.44720294699,934.66447202947,-52.88011276869074
285,16505.57634491065,65.05576344910648,-55.102505518846314
286,60475.20537099083,504.7520537099083,-40.30608068278234
287,51164.4722119286,411.64472211928603,-27.21335446225198
288,15550.626534962223,55.50626534962223,-41.715772338942955
289,79736.91557520916,697.3691557520916,-28.027980547800453
290,15152.719523060929,51.527195230609294,-62.483421526583136
291,46762.58152330102,367.6258152330102,-28.495303700322605
292,23743.005334140955,137.43005334140955,-36.21903304464277
293,22436.637711999992,124.36637711999991,-56.70649825039621
294,47020.93873240178,370.2093873240178,-42.08163627608195
295,41510.509133323445,315.10509133323444,-48.43276928407918
296,42307.98290221543,323.0798290221543,-37.14959011059734
297,30532.03506369388,205.32035063693877,-27.115663111142972
298,80126.78281948184,701.2678281948184,-31.684762481012452
299,129992.47794349385,1199.9247794349385,-26.00263198001629
300,199504.58927782622,1895.0458927782624,-25.218263407443935
301,39426.85944100528,294.26859441005286,-50.978061076533656
302,63074.31332319085,530.7431332319086,-43.41638250586246
303,40593.75903181671,305.93759031816717,-41.19654611631237
304,32347.113031111992,223.4711303111199,-43.49126701249894
305,22098.165843682593,120.98165843682594,-47.2299116819494
306,184833.52850871533,1748.3352850871534,-53.85805466262503
307,12981.491620581637,29.81491620581637,-45.8943304300057
308,111069.17124286274,1010.6917124286273,-31.144175060105127
309,101486.05539315015,914.8605539315016,-43.19651210869053
310,77813.91960776631,678.1391960776631,-30.177074193422655
311,295484.2564108427,2854.8425641084273,-21.76127961755468
312,40001.85801937991,300.0185801937991,-38.494020199578216
313,142881.30768789654,1328.8130768789654,-44.658459954069826
314,24679.080863023642,146.79080863023643,-47.80234383933391
315,258322.59071151368,2483.2259071151366,-37.921951673063155
316,34061.43435391015,240.61434353910144,-48.01646764560463
317,82286.29667021416,722.8629667021415,-32.41726121871796
318,145427.83524641817,1354.2783524641816,-30.670697352579058
319,39254.03245387579,292.54032453875794,-39.43480566990611
320,129515.54036842748,1195.1554036842747,-26.949699268193577
321,65927.87006923315,559.2787006923314,-22.23627176002443
322,76284.0219203771,662.840219203771,-53.6906547177472
