entry_date,exit_date,symbol,strategy,quality,shares,entry_price,exit_price,leveraged_value,exit_value,pnl,pnl_pct,days_held,exit_reason
2023-04-26,2023-05-10,NVDA,PULLBACK,3,11743.023025524884,26.93511390686035,28.862621307373047,316299.66280339664,338934.42658948683,22634.76378609019,7.156113789523497,14,TIME_EXIT
2023-04-27,2023-05-11,META,TREND_FOLLOW,3,733.724295232787,237.0983428955078,234.3453369140625,173964.81454186814,171944.86716836054,-2019.9473735076026,-1.1611240921487958,14,TIME_EXIT
2023-05-12,2023-05-23,PLTR,TREND_FOLLOW,3,23255.316714109864,9.5,12.640000343322754,220925.50878404372,293947.21125042805,73021.70246638433,33.05263519287108,11,TAKE_PROFIT
2023-05-10,2023-05-24,NVDA,TREND_FOLLOW,3,9128.748311283865,28.862621307373047,30.51433753967285,263479.6055189074,278557.7072852344,15078.101766326989,5.7226826860589695,14,TIME_EXIT
2023-05-12,2023-05-25,AMD,TREND_FOLLOW,3,1275.5514077929063,95.26000213623047,120.3499984741211,121509.02983122403,153512.60998153928,32003.580150315247,26.338437723326567,13,TAKE_PROFIT
2023-05-24,2023-05-26,NVDA,TREND_FOLLOW,3,12581.775603227386,30.51433753967285,38.91582107543945,383924.5476053015,489630.12818652624,105705.58058122476,27.532904900339094,2,TAKE_PROFIT
2023-05-24,2023-06-07,TSLA,TREND_FOLLOW,3,1154.5025053550567,182.89999389648438,224.57000732421875,211158.5011829158,259266.63608341396,48108.134900498175,22.78294959994273,14,TIME_EXIT
2023-05-26,2023-06-09,NVDA,TREND_FOLLOW,3,12809.831003016898,38.91582107543945,38.74396896362305,498505.0913200227,496303.694810143,-2201.3965098797344,-0.44159960413854943,14,TIME_EXIT
2023-06-07,2023-06-21,TSLA,TREND_FOLLOW,3,1885.0281146859631,224.57000732421875,259.4599914550781,423320.777521385,489089.378529002,65768.60100761702,15.53635080061587,14,TIME_EXIT
2023-06-07,2023-06-21,PLTR,TREND_FOLLOW,3,15849.314791517967,14.6899995803833,14.640000343322754,232826.42763676177,232033.97398925343,-792.4536475083441,-0.34036241312978033,14,TIME_EXIT
2023-06-12,2023-06-26,NVDA,TREND_FOLLOW,3,8868.353184679096,39.45549392700195,40.6047248840332,349905.2552206145,360097.0412383344,10191.786017719889,2.9127273356594747,14,TIME_EXIT
2023-06-21,2023-07-05,TSLA,TREND_FOLLOW,3,2161.4596351735527,259.4599914550781,282.4800109863281,560812.2984726263,610569.14149033,49756.84301770374,8.87228100261293,14,TIME_EXIT
2023-07-05,2023-07-06,NVDA,TREND_FOLLOW,3,10706.111002163836,42.28859329223633,42.07473373413086,452746.3739120431,450456.7697440923,-2289.6041679508053,-0.5057145236011578,1,RSI_SELL
2023-06-27,2023-07-11,COIN,TREND_FOLLOW,3,6830.30322575536,69.88999938964844,89.1500015258789,477369.8882791558,608921.5429983059,131551.65471915004,27.557593796578434,14,TAKE_PROFIT
2023-06-27,2023-07-11,META,TREND_FOLLOW,3,920.2997205541789,285.2912292480469,296.4624328613281,262553.4385535357,272834.2941170923,10280.855563556543,3.9157192608849547,14,TIME_EXIT
2023-07-06,2023-07-20,TSLA,TREND_FOLLOW,3,1627.8677779456698,276.5400085449219,262.8999938964844,450170.5692230985,427966.4288862002,-22204.14033689833,-4.932383824028766,14,TIME_EXIT
2023-07-11,2023-07-25,PLTR,TREND_FOLLOW,3,44883.013613606236,16.489999771118164,16.549999237060547,740120.8842154603,742813.8410621614,2692.9568467010977,0.3638536493340104,14,TIME_EXIT
2023-07-12,2023-07-26,NVDA,PULLBACK,3,9278.392186700705,43.87252426147461,45.42148208618164,407066.48631850316,421438.32449679374,14371.838178290578,3.53058742523096,14,TIME_EXIT
2023-07-21,2023-07-27,COIN,TREND_FOLLOW,3,3982.1827708969076,100.81999969482422,92.69000244140625,401483.6657465605,369108.53075656027,-32375.134990000224,-8.063873515202301,6,STOP_LOSS
2023-07-27,2023-08-02,NVDA,TREND_FOLLOW,3,12212.602657428191,45.86918640136719,44.239280700683594,560182.147739406,540276.7570478802,-19905.39069152577,-3.553378266667945,6,RSI_SELL
2023-08-03,2023-08-04,NVDA,PULLBACK,3,6649.049247717986,44.48511505126953,44.65000534057617,295783.7207662917,296880.0844203621,1096.3636540703592,0.3706639605553652,1,RSI_SELL
