date,equity,cash,positions,peak,drawdown
2021-02-25,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-02-26,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-01,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-02,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-03,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-04,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-05,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-08,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-09,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-10,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-11,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-12,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-15,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-16,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-17,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-18,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-19,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-22,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-23,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-24,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-25,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-26,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-29,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-30,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-03-31,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-04-01,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-04-05,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-04-06,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-04-07,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-04-08,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-04-09,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-04-12,9369.099586738317,9369.099586738317,0,10074.818123832021,-7.004776944055438
2021-04-13,9369.099586738317,6956.379822028844,2,10074.818123832021,-7.004776944055438
2021-04-14,9240.36144729633,6956.379822028844,2,10074.818123832021,-8.282597921661532
2021-04-15,9176.803196510838,6956.379822028844,2,10074.818123832021,-8.913460434555388
2021-04-16,9244.221894143522,6956.379822028844,2,10074.818123832021,-8.244280139645603
2021-04-19,9145.443957586249,6956.379822028844,2,10074.818123832021,-9.224724008141985
2021-04-20,9133.422694457777,6956.379822028844,2,10074.818123832021,-9.34404391030514
2021-04-21,9144.223339635046,6956.379822028844,2,10074.818123832021,-9.23683954150646
2021-04-22,9069.877756136662,6956.379822028844,2,10074.818123832021,-9.974774287172178
2021-04-23,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-04-26,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-04-27,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-04-28,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-04-29,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-04-30,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-03,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-04,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-05,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-06,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-07,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-10,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-11,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-12,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-13,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-14,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-17,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-18,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-19,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-20,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-21,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-24,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-25,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-26,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-27,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-05-28,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-06-01,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-06-02,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-06-03,9070.802223207682,9070.802223207682,0,10074.818123832021,-9.96559826970311
2021-06-04,9070.802223207682,7492.564002992836,1,10074.818123832021,-9.96559826970311
2021-06-07,9056.996946631296,7492.564002992836,1,10074.818123832021,-10.102625821036563
2021-06-08,9040.635293468302,7492.564002992836,1,10074.818123832021,-10.26502729530527
2021-06-09,9029.081927591531,7492.564002992836,1,10074.818123832021,-10.379702972173733
2021-06-10,9028.108593223704,7492.564002992836,1,10074.818123832021,-10.389364033602968
2021-06-11,9047.880906174449,7492.564002992836,1,10074.818123832021,-10.193109245598674
2021-06-14,9018.521918596762,7821.541938128011,1,10074.818123832021,-10.48451884939329
2021-06-15,9064.666529621541,7821.541938128011,1,10074.818123832021,-10.026499553584618
2021-06-16,9043.01548067745,7821.541938128011,1,10074.818123832021,-10.24140218187997
2021-06-17,9054.820080866353,7821.541938128011,1,10074.818123832021,-10.124232819179719
2021-06-18,9072.901092244223,7821.541938128011,1,10074.818123832021,-9.944765446611484
2021-06-21,8968.493635696828,7821.541938128011,1,10074.818123832021,-10.981086452748741
2021-06-22,8835.559893188949,7821.541938128011,1,10074.818123832021,-12.30055188501718
2021-06-23,8831.978063236416,7821.541938128011,1,10074.818123832021,-12.33610418887525
2021-06-24,8937.829363596686,8937.829363596686,0,10074.818123832021,-11.285451968068628
2021-06-25,8937.829363596686,8937.829363596686,0,10074.818123832021,-11.285451968068628
2021-06-28,8937.829363596686,8937.829363596686,0,10074.818123832021,-11.285451968068628
2021-06-29,8937.829363596686,8937.829363596686,0,10074.818123832021,-11.285451968068628
2021-06-30,8937.829363596686,7998.529360544928,1,10074.818123832021,-11.285451968068628
2021-07-01,8929.673291618688,7998.529360544928,1,10074.818123832021,-11.366406997506866
2021-07-02,8937.187611307867,7998.529360544928,1,10074.818123832021,-11.291821832823809
2021-07-06,8921.952714857673,7998.529360544928,1,10074.818123832021,-11.443039415741323
2021-07-07,8891.138791584966,7998.529360544928,1,10074.818123832021,-11.74889032931579
2021-07-08,8812.111046080183,7998.529360544928,1,10074.818123832021,-12.533298985962832
2021-07-09,8887.934301081732,7998.529360544928,1,10074.818123832021,-11.78069726085388
2021-07-12,8865.567541486731,8865.567541486731,0,10074.818123832021,-12.002703845192036
2021-07-13,8865.567541486731,8865.567541486731,0,10074.818123832021,-12.002703845192036
2021-07-14,8865.567541486731,8865.567541486731,0,10074.818123832021,-12.002703845192036
2021-07-15,8865.567541486731,8865.567541486731,0,10074.818123832021,-12.002703845192036
2021-07-16,8865.567541486731,8865.567541486731,0,10074.818123832021,-12.002703845192036
2021-07-19,8865.567541486731,8865.567541486731,0,10074.818123832021,-12.002703845192036
2021-07-20,8865.567541486731,8865.567541486731,0,10074.818123832021,-12.002703845192036
2021-07-21,8865.567541486731,8865.567541486731,0,10074.818123832021,-12.002703845192036
2021-07-22,8865.567541486731,8865.567541486731,0,10074.818123832021,-12.002703845192036
2021-07-23,8865.567541486731,8865.567541486731,0,10074.818123832021,-12.002703845192036
2021-07-26,8865.567541486731,8865.567541486731,0,10074.818123832021,-12.002703845192036
2021-07-27,8865.567541486731,8865.567541486731,0,10074.818123832021,-12.002703845192036
2021-07-28,8865.567541486731,8865.567541486731,0,10074.818123832021,-12.002703845192036
2021-07-29,8865.567541486731,7836.067572004308,1,10074.818123832021,-12.002703845192036
2021-07-30,8887.406175528175,7836.067572004308,1,10074.818123832021,-11.785939296462525
2021-08-02,8893.27015377677,7836.067572004308,1,10074.818123832021,-11.727734987694667
2021-08-03,8830.912543102027,7836.067572004308,1,10074.818123832021,-12.346680262024089
2021-08-04,8956.699078352576,7836.067572004308,1,10074.818123832021,-11.098156132809288
2021-08-05,8820.405272261018,7836.067572004308,1,10074.818123832021,-12.450972674173492
2021-08-06,8885.736588200598,6466.067572004309,2,10074.818123832021,-11.802511181999865
2021-08-09,8878.304115751433,6335.475397062162,2,10074.818123832021,-11.876283952463918
2021-08-10,8875.77648843492,6335.475397062162,2,10074.818123832021,-11.901372517691051
2021-08-11,8743.857148105266,6335.475397062162,2,10074.818123832021,-13.210769260224778
2021-08-12,8765.32118896707,6335.475397062162,2,10074.818123832021,-12.997722825063532
2021-08-13,8707.713169283536,6335.475397062162,2,10074.818123832021,-13.569524906008908
2021-08-16,8671.598515518277,7606.410991932462,1,10074.818123832021,-13.927989478980496
2021-08-17,8605.453568480314,7606.410991932462,1,10074.818123832021,-14.584526859853872
2021-08-18,8586.131649646695,7606.410991932462,1,10074.818123832021,-14.776311154082597
2021-08-19,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-08-20,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-08-23,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-08-24,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-08-25,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-08-26,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-08-27,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-08-30,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-08-31,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-01,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-02,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-03,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-07,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-08,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-09,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-10,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-13,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-14,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-15,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-16,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-17,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-20,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-21,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-22,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
2021-09-23,8496.284940769248,8496.284940769248,0,10074.818123832021,-15.668106001127171
