date,equity,peak,dd
2020-07-20,12539.805694892191,15593.813897604263,-19.584741890380457
2020-07-21,13050.09139325353,15593.813897604263,-16.312382083394848
2020-07-22,13734.596208178506,15593.813897604263,-11.922790034780368
2020-07-23,14041.518745954125,15593.813897604263,-9.954557376682704
2020-07-24,13852.919254327764,15593.813897604263,-11.164008078510921
2020-07-25,15676.537491826479,15676.537491826479,0.0
2020-07-26,15871.60291259091,15871.60291259091,0.0
2020-07-27,16494.642955761785,16494.642955761785,0.0
2020-07-28,16358.254289572396,16494.642955761785,-0.8268664350915592
2020-07-29,16457.876523385487,16494.642955761785,-0.222899231434745
2020-07-30,16830.60753713834,16830.60753713834,0.0
2020-07-31,17151.09819965685,17151.09819965685,0.0
2020-08-01,18194.6700658459,18194.6700658459,0.0
2020-08-02,17622.75258369168,18194.6700658459,-3.143324281696078
2020-08-03,18041.245889076956,18194.6700658459,-0.8432369271534383
2020-08-04,18107.78765495647,18194.6700658459,-0.4775157261714835
2020-08-05,18559.20117376827,18559.20117376827,0.0
2020-08-06,18427.48381065839,18559.20117376827,-0.7097146147435035
2020-08-07,17984.69677296628,18559.20117376827,-3.0955233224908394
2020-08-08,18391.829149658275,18559.20117376827,-0.9018277378584566
2020-08-09,18285.5445851415,18559.20117376827,-1.4745062897079824
2020-08-10,18500.760778771237,18559.20117376827,-0.31488637064634545
2020-08-11,17958.32701667241,18559.20117376827,-3.2376078661464143
2020-08-12,18939.145600448825,18939.145600448825,0.0
2020-08-13,19738.072119420205,19738.072119420205,0.0
2020-08-14,19383.213565662933,19738.072119420205,-1.7978379631520789
2020-08-15,19026.243710867166,19738.072119420205,-3.6063725182799113
2020-08-16,19346.09549709947,19738.072119420205,-1.9858911242657245
2020-08-17,19035.827430628404,19738.072119420205,-3.5578180307734604
2020-08-18,19125.35644985657,19738.072119420205,-3.1042326011200885
2020-08-19,18041.331950059044,19738.072119420205,-8.596281131690391
2020-08-20,18298.82282890223,19738.072119420205,-7.291741978700665
2020-08-21,17618.459412461645,19738.072119420205,-10.738701804990782
2020-08-22,17796.542204245095,19738.072119420205,-9.836471887570248
2020-08-23,17702.668433966606,19738.072119420205,-10.312069350739549
2020-08-24,18082.458068556763,19738.072119420205,-8.387921783072674
2020-08-25,17426.489993966694,19738.072119420205,-11.711286246538513
2020-08-26,17956.14748629306,19738.072119420205,-9.027855518746017
2020-08-27,17633.764908850953,19738.072119420205,-10.661158789154655
2020-08-28,18763.2044227854,19738.072119420205,-4.9390218595646855
2020-08-29,18944.139206474163,19738.072119420205,-4.022342750307892
2020-08-30,19606.769704609873,19738.072119420205,-0.6652241111285858
2020-08-31,20410.197602346776,20410.197602346776,0.0
2020-09-01,19570.799984679084,20410.197602346776,-4.112638368435871
2020-09-02,18294.199923325028,20410.197602346776,-10.36735518316809
2020-09-03,16320.053104911185,20410.197602346776,-20.039710428699152
2020-09-04,16364.878676247765,20410.197602346776,-19.820087021763463
2020-09-05,14062.450691421207,20410.197602346776,-31.1008596516268
2020-09-06,14062.450691421207,20410.197602346776,-31.1008596516268
2020-09-07,14062.450691421207,20410.197602346776,-31.1008596516268
2020-09-08,14062.450691421207,20410.197602346776,-31.1008596516268
2020-09-09,14062.450691421207,20410.197602346776,-31.1008596516268
2020-09-10,13724.329246564917,20410.197602346776,-32.757489594383514
2020-09-11,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-12,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-13,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-14,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-15,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-16,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-17,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-18,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-19,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-20,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-21,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-22,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-23,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-24,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-25,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-26,13638.228138907547,20410.197602346776,-33.179342970499135
2020-09-27,13638.228138907547,20410.197602346776,-33.179342970499135
