date,equity,positions,cummax,drawdown
2019-12-17,30977.199521425973,2,30977.199521425973,0.0
2019-12-18,31583.1370220651,2,31583.1370220651,0.0
2019-12-19,32412.899243663625,2,32412.899243663625,0.0
2019-12-20,32753.320314319535,2,32753.320314319535,0.0
2019-12-23,33211.424231370765,2,33211.424231370765,0.0
2019-12-24,33439.041582776204,2,33439.041582776204,0.0
2019-12-26,33708.89625483518,2,33708.89625483518,0.0
2019-12-27,33518.02028320794,2,33708.89625483518,-0.5662480615925259
2019-12-30,32558.143168842988,2,33708.89625483518,-3.413796397522588
2019-12-31,32922.29707590822,2,33708.89625483518,-2.3335061847779266
2020-01-02,33739.2025770071,2,33739.2025770071,0.0
2020-01-03,33969.76253065204,2,33969.76253065204,0.0
2020-01-06,34384.84403443872,2,34384.84403443872,0.0
2020-01-07,35288.42866421758,2,35288.42866421758,0.0
2020-01-08,36234.667900108594,2,36234.667900108594,0.0
2020-01-09,36000.7962200024,2,36234.667900108594,-0.6454362456168544
2020-01-10,35969.842594835885,2,36234.667900108594,-0.7308616874943539
2020-01-13,38379.501740163985,2,38379.501740163985,0.0
2020-01-14,38549.697853510894,2,38549.697853510894,0.0
2020-01-15,37655.159604970424,2,38549.697853510894,-2.320480570145377
2020-01-16,37704.68707879907,2,38549.697853510894,-2.192003625872426
2020-01-17,37612.184771694876,2,38549.697853510894,-2.4319596106267127
2020-01-21,38965.57147681786,2,38965.57147681786,0.0
2020-01-22,39982.92430829459,2,39982.92430829459,0.0
2020-01-23,40286.93281741897,2,40286.93281741897,0.0
2020-01-24,39828.466387432345,2,40286.93281741897,-1.1380028161101376
2020-01-27,38809.6756259391,2,40286.93281741897,-3.6668395635250493
2020-01-28,39782.01307489381,2,40286.93281741897,-1.2533089694702415
2020-01-29,40124.65419405828,2,40286.93281741897,-0.40280709404247456
2020-01-30,42440.253430082885,2,42440.253430082885,0.0
2020-01-31,42051.69246161863,2,42440.253430082885,-0.9155481814084354
2020-02-03,47331.50989844907,2,47331.50989844907,0.0
2020-02-04,51879.09683118239,1,51879.09683118239,0.0
2020-02-05,45723.640686510116,2,51879.09683118239,-11.86500251672169
2020-02-06,46633.490561780025,2,51879.09683118239,-10.111213551908724
2020-02-07,46363.88688770778,2,51879.09683118239,-10.630890436318557
2020-02-10,48341.471198709936,2,51879.09683118239,-6.818980762105579
2020-02-11,48901.89475006932,2,51879.09683118239,-5.738731518015938
2020-02-12,49005.954392059975,2,51879.09683118239,-5.5381504586939645
2020-02-13,50411.9091402115,2,51879.09683118239,-2.828090272552744
2020-02-14,51899.88136066405,2,51899.88136066405,0.0
2020-02-18,54970.10143915542,2,54970.10143915542,0.0
2020-02-19,59616.48543526837,3,59616.48543526837,0.0
2020-02-20,57847.43222909747,3,59616.48543526837,-2.9673892938417867
2020-02-21,54855.351556559515,3,59616.48543526837,-7.986270649715667
2020-02-24,49010.78844893138,3,59616.48543526837,-17.789872899925747
2020-02-25,46566.5646356999,2,59616.48543526837,-21.88978552541157
2020-02-26,46486.4909806499,2,59616.48543526837,-22.024100144036552
2020-02-27,42064.01885314178,2,59616.48543526837,-29.442303507114776
2020-02-28,43734.047793011654,1,59616.48543526837,-26.64101636702801
2020-03-02,44342.03020662758,1,59616.48543526837,-25.621193730425123
2020-03-03,43388.61417110407,2,59616.48543526837,-27.220442710908436
2020-03-04,45282.890473159234,2,59616.48543526837,-24.0430056509664
2020-03-05,43495.23504958038,2,59616.48543526837,-27.04159808815375
2020-03-06,42198.81380979343,2,59616.48543526837,-29.216200012976383
2020-03-09,39463.3733714042,1,59616.48543526837,-33.804596021928255
2020-03-10,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-03-11,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-03-12,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-03-13,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-03-16,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-03-17,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-03-18,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-03-19,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-03-20,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-03-23,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-03-24,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-03-25,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-03-26,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-03-27,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-03-30,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-03-31,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-04-01,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-04-02,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-04-03,39463.3733714042,0,59616.48543526837,-33.804596021928255
2020-04-06,44315.49467249084,2,59616.48543526837,-25.665704127076328
2020-04-07,43271.14679355022,2,59616.48543526837,-27.41748112519301
2020-04-08,44686.70008821253,2,59616.48543526837,-25.043048475688177
2020-04-09,44060.81995853194,2,59616.48543526837,-26.092892533268813
2020-04-13,45921.576318031024,2,59616.48543526837,-22.971681435510465
2020-04-14,49200.663756036985,2,59616.48543526837,-17.471378265900782
2020-04-15,49455.09644344053,2,59616.48543526837,-17.044595832240198
2020-04-16,51237.48914465068,2,59616.48543526837,-14.054831024407854
2020-04-17,51275.84977422503,2,59616.48543526837,-13.990485350062452
2020-04-20,50546.957508145686,2,59616.48543526837,-15.213120768365965
2020-04-21,47068.98984460615,2,59616.48543526837,-21.047023317545786
2020-04-22,50028.062903783124,2,59616.48543526837,-16.083508548816354
2020-04-23,49019.47743784252,2,59616.48543526837,-17.775298090881403
2020-04-24,50142.55813489712,2,59616.48543526837,-15.89145557843736
2020-04-27,53092.100498392494,2,59616.48543526837,-10.94392748790946
2020-04-28,51208.01723803654,3,59616.48543526837,-14.104266858135658
2020-04-29,52531.33644685997,3,59616.48543526837,-11.88454659257205
2020-04-30,50841.78125601141,3,59616.48543526837,-14.718586839179808
2020-05-01,46519.2437076846,3,59616.48543526837,-21.96916110025433
2020-05-04,49360.18361371866,2,59616.48543526837,-17.203801510047096
2020-05-05,49874.96110872722,2,59616.48543526837,-16.34031972099144
2020-05-06,50807.971626229075,2,59616.48543526837,-14.775298719351019
2020-05-07,51618.31700723562,2,59616.48543526837,-13.416034792452106
2020-05-08,53741.21724775259,2,59616.48543526837,-9.85510659445893
2020-05-11,54766.015509974946,2,59616.48543526837,-8.136121896283314
2020-05-12,53772.117312546616,2,59616.48543526837,-9.803275184793597
2020-05-13,53144.45598967773,2,59616.48543526837,-10.856106995133041
2020-05-14,54473.44961838481,2,59616.48543526837,-8.62686852358627
2020-05-15,55968.69329268945,2,59616.48543526837,-6.118764157172085
2020-05-18,57403.37553177874,2,59616.48543526837,-3.7122448385398727
2020-05-19,57402.59871232152,2,59616.48543526837,-3.713547866471742
2020-05-20,58255.15329159972,2,59616.48543526837,-2.2834827208101376
2020-05-21,57984.34102342151,2,59616.48543526837,-2.73774007295187
2020-05-22,58502.26309832296,2,59616.48543526837,-1.8689836021199728
