symbol,entry_date,entry_price,shares,strategy,confidence,exit_date,exit_price,exit_reason,pnl,pnl_pct,days_held
TSLA,2024-07-24,215.99000549316406,5721,ML_ENSEMBLE,0.7143472731793357,2024-08-16,216.1199951171875,TIME_EXIT,743.6706390380859,0.0006018316621949045,23
META,2024-07-30,461.2980651855469,5950,ML_ENSEMBLE,0.7866796719833146,2024-08-13,526.381103515625,TAKE_PROFIT,387244.07806396484,0.14108673597817914,20
NVDA,2024-08-09,104.71102142333984,83519,ML_ENSEMBLE,0.9526701498553609,2024-08-19,129.9516143798828,TAKE_PROFIT,2108069.083137512,0.24105001186548353,35
AMZN,2024-08-13,170.22999572753906,55620,ML_ENSEMBLE,0.8820015663821495,2024-08-28,170.8000030517578,TIME_EXIT,31703.807373046875,0.003348454082857835,15
TSLA,2024-08-27,209.2100067138672,21493,ML_ENSEMBLE,0.7543181909316079,2024-09-11,228.1300048828125,TIME_EXIT,406647.5206451416,0.09043543598190243,15
PLTR,2024-08-30,31.479999542236328,307126,ML_ENSEMBLE,0.9656208411838155,2024-09-16,36.310001373291016,TIME_EXIT,1483419.142364502,0.15343081007908954,17
SPY,2024-09-06,532.2369995117188,28151,ML_ENSEMBLE,0.9908426031510216,2024-09-23,562.827392578125,TIME_EXIT,861150.1552124023,0.057475134375231864,17
AAPL,2024-09-16,215.3179168701172,76015,ML_ENSEMBLE,1.0295826930350604,2024-10-01,225.16209411621094,TIME_EXIT,748305.1333618164,0.045719266604422416,15
PLTR,2024-09-16,36.310001373291016,133901,ML_ENSEMBLE,0.914895626643493,2024-10-01,36.459999084472656,TIME_EXIT,20084.84352493286,0.004131030170986891,15
TSLA,2024-09-23,250.0,22391,ML_ENSEMBLE,0.7834765598260791,2024-10-24,260.4800109863281,TIME_EXIT,234657.92599487305,0.0419200439453125,31
PLTR,2024-10-01,36.459999084472656,421430,ML_ENSEMBLE,1.0057334179407211,2024-10-16,41.93000030517578,TIME_EXIT,2305222.614440918,0.1500274645654792,15
NET,2024-10-01,78.11000061035156,142050,ML_ENSEMBLE,0.846243167087111,2024-10-10,92.45999908447266,TAKE_PROFIT,2038417.2832489014,0.1837152523619281,9
AAPL,2024-10-11,226.4958953857422,93913,ML_ENSEMBLE,0.9426706459724659,2024-10-28,232.31878662109375,TIME_EXIT,546845.1845855713,0.025708594963430455,17
PLTR,2024-10-17,42.0,266515,ML_ENSEMBLE,0.8934350158842378,2024-11-05,51.130001068115234,TIME_EXIT,2433282.2346687317,0.21738097781226748,19
GOOGL,2024-10-24,162.00555419921875,100985,ML_ENSEMBLE,0.8023874853929153,2024-11-08,177.5669403076172,TIME_EXIT,1571466.5761566162,0.09605464568987895,15
AMZN,2024-10-28,188.38999938964844,94094,ML_ENSEMBLE,0.9076068279271993,2024-11-12,208.91000366210938,TIME_EXIT,1930809.2820129395,0.10892300195839622,15
SPY,2024-11-05,569.7730102539062,39760,ML_ENSEMBLE,1.0859687953112438,2024-11-20,583.4072265625,TIME_EXIT,542096.4404296875,0.023929207005642432,15
PLTR,2024-11-06,55.529998779296875,107286,ML_ENSEMBLE,0.9085516765234072,2024-11-21,61.36000061035156,TIME_EXIT,625477.5764465332,0.10498832989760976,15
NET,2024-11-12,90.91000366210938,158131,ML_ENSEMBLE,0.8024596838161212,2024-11-27,99.37000274658203,TIME_EXIT,1337788.1152267456,0.09305905558992648,15
COIN,2024-11-13,284.7200012207031,24446,ML_ENSEMBLE,0.9101831779556424,2024-11-29,296.20001220703125,TIME_EXIT,280640.34857177734,0.04032035310869958,16
