date,equity,cash,positions,cummax,drawdown
2025-03-06,30000.0,30000.0,0,30000.0,0.0
2025-03-07,30000.0,30000.0,0,30000.0,0.0
2025-03-10,30000.0,30000.0,0,30000.0,0.0
2025-03-11,30000.0,30000.0,0,30000.0,0.0
2025-03-12,30000.0,30000.0,0,30000.0,0.0
2025-03-13,30000.0,30000.0,0,30000.0,0.0
2025-03-14,30000.0,30000.0,0,30000.0,0.0
2025-03-17,30000.0,30000.0,0,30000.0,0.0
2025-03-18,30000.0,30000.0,0,30000.0,0.0
2025-03-19,30000.0,30000.0,0,30000.0,0.0
2025-03-20,30000.0,30000.0,0,30000.0,0.0
2025-03-21,30000.0,30000.0,0,30000.0,0.0
2025-03-24,30000.0,30000.0,0,30000.0,0.0
2025-03-25,30000.0,30000.0,0,30000.0,0.0
2025-03-26,29154.952534413016,19500.0,1,30000.0,-2.8168248852899462
2025-03-27,28507.447780411654,19500.0,1,30000.0,-4.975174065294486
2025-03-28,27880.06333706707,19500.0,1,30000.0,-7.066455543109769
2025-03-31,27880.06333706707,27880.06333706707,0,30000.0,-7.066455543109769
2025-04-01,27880.06333706707,27880.06333706707,0,30000.0,-7.066455543109769
2025-04-02,27880.06333706707,27880.06333706707,0,30000.0,-7.066455543109769
2025-04-03,27880.06333706707,27880.06333706707,0,30000.0,-7.066455543109769
2025-04-04,27880.06333706707,27880.06333706707,0,30000.0,-7.066455543109769
2025-04-07,27880.06333706707,27880.06333706707,0,30000.0,-7.066455543109769
2025-04-08,27880.06333706707,27880.06333706707,0,30000.0,-7.066455543109769
2025-04-09,27880.06333706707,27880.06333706707,0,30000.0,-7.066455543109769
2025-04-10,27880.06333706707,27880.06333706707,0,30000.0,-7.066455543109769
2025-04-11,27880.06333706707,27880.06333706707,0,30000.0,-7.066455543109769
2025-04-14,27880.06333706707,27880.06333706707,0,30000.0,-7.066455543109769
2025-04-15,27880.06333706707,27880.06333706707,0,30000.0,-7.066455543109769
2025-04-16,27880.06333706707,27880.06333706707,0,30000.0,-7.066455543109769
2025-04-17,28105.30507679152,18122.041169093594,1,30000.0,-6.315649744028269
2025-04-21,27477.99702680875,18122.041169093594,1,30000.0,-8.40667657730417
2025-04-22,28149.51121942499,18122.041169093594,1,30000.0,-6.168295935250038
2025-04-23,29587.270035796137,18122.041169093594,1,30000.0,-1.3757665473462113
2025-04-24,31052.39410064437,18122.041169093594,1,31052.39410064437,0.0
2025-04-25,32720.125363389354,7253.703233868066,2,32720.125363389354,0.0
2025-04-28,32647.842731596033,7253.703233868066,2,32720.125363389354,-0.2209118424533868
2025-04-29,33040.56039447364,7253.703233868066,2,33040.56039447364,0.0
2025-04-30,31913.41945556646,10367.063448194545,2,33040.56039447364,-3.411385658869475
2025-05-01,31614.00659580345,10367.063448194545,2,33040.56039447364,-4.317583544705247
2025-05-02,32530.87650925846,10367.063448194545,2,33040.56039447364,-1.5426006070418556
2025-05-05,31390.837073606286,10367.063448194545,2,33040.56039447364,-4.993024637509748
2025-05-06,30734.35491764889,10367.063448194545,2,33040.56039447364,-6.979922402316427
2025-05-07,30768.072500577382,10367.063448194545,2,33040.56039447364,-6.877873337391568
2025-05-08,32508.98752551085,10367.063448194545,2,33040.56039447364,-1.608849434199381
2025-05-09,33433.819288472034,10137.667605304285,2,33433.819288472034,0.0
2025-05-12,36258.46739143626,10137.667605304285,2,36258.46739143626,0.0
2025-05-13,38844.71746267761,10137.667605304285,2,38844.71746267761,0.0
2025-05-14,41001.40668344681,11435.726082048322,2,41001.40668344681,0.0
2025-05-15,40506.9519942017,11435.726082048322,2,41001.40668344681,-1.205945671724315
2025-05-16,41200.24852345029,11435.726082048322,2,41200.24852345029,0.0
2025-05-19,40591.00977551432,11435.726082048322,2,41200.24852345029,-1.478725905231378
2025-05-20,40501.099188055894,11435.726082048322,2,41200.24852345029,-1.6969541700615094
2025-05-21,39252.048544595375,11435.726082048322,2,41200.24852345029,-4.7286122018075725
2025-05-22,39974.3021093703,11435.726082048322,2,41200.24852345029,-2.9755801433629894
2025-05-23,39511.513552593926,11820.3288118887,2,41200.24852345029,-4.09884656374141
2025-05-27,42315.22153574461,11820.3288118887,2,42315.22153574461,0.0
2025-05-28,41680.93817082918,12951.428756734993,2,42315.22153574461,-1.4989484679399379
2025-05-29,42728.51689971377,12951.428756734993,2,42728.51689971377,0.0
2025-05-30,40896.19162783088,12951.428756734993,2,42728.51689971377,-4.288295978499478
2025-06-02,41062.4530731909,12951.428756734993,2,42728.51689971377,-3.8991847773074246
2025-06-03,42000.35219432623,12951.428756734993,2,42728.51689971377,-1.7041656444490823
2025-06-04,41150.366818609014,12951.428756734993,2,42728.51689971377,-3.6934351941322134
2025-06-05,40604.360750361804,10841.831313404231,2,42728.51689971377,-4.971284527233845
2025-06-06,41690.838250132685,12129.63957231362,2,42728.51689971377,-2.4285388889499213
